id_venda,data,loja_id,categoria,produto,vendedor,cliente_id,idade_cliente,sexo,quantidade,valor_unitario,valor_total,forma_pagamento
1,2025-02-14,4,Eletrônicos,Teclado,Fernanda,1056,50,M,8,188.13,1505.04,Pix
2,2025-06-15,2,Eletrônicos,Teclado,Fernanda,1030,37,M,5,171.86,859.3,Cartão
3,2025-04-15,2,Eletrônicos,Monitor,Lucas,1060,53,F,6,1184.41,7106.46,Boleto
4,2025-04-12,2,Eletrônicos,Notebook,Pedro,1025,28,M,3,3326.98,9980.94,Cartão
5,2025-01-14,5,Vestuário,Tênis,Ana,1092,57,F,3,425.2,1275.6,Dinheiro
6,2025-04-13,1,Alimentos,Macarrão,Maria,1039,59,F,6,8.4,50.4,Dinheiro
7,2025-03-07,2,Eletrônicos,Teclado,João,1087,55,F,8,187.23,1497.84,Cartão
8,2025-06-02,2,Eletrônicos,Mouse,Carlos,1068,57,M,2,122.61,245.22,Dinheiro
9,2025-05-02,2,Vestuário,Tênis,Maria,1093,56,M,1,427.96,427.96,Pix
10,2025-02-08,5,Vestuário,Camisa,Mariana,1070,20,F,7,91.6,641.2,Cartão
11,2025-03-05,2,Eletrônicos,Teclado,Maria,1005,26,M,1,188.92,188.92,Pix
12,2025-04-13,1,Eletrônicos,Mouse,Lucas,1061,46,F,2,122.25,244.5,Boleto
13,2025-02-23,4,Alimentos,Feijão,Maria,1077,35,F,5,11.9,59.5,Dinheiro
14,2025-01-13,4,Alimentos,Arroz,Carlos,1001,35,F,4,31.13,124.52,Pix
15,2025-01-03,1,Eletrônicos,TV,Ana,1039,59,M,5,2724.95,13624.75,Pix
16,2025-04-24,1,Alimentos,Macarrão,Pedro,1011,19,F,6,8.14,48.84,Cartão
17,2025-05-10,4,Eletrônicos,Notebook,Pedro,1049,42,F,1,3571.21,3571.21,Cartão
18,2025-04-28,2,Eletrônicos,Monitor,Lucas,1075,55,M,5,1148.78,5743.9,Dinheiro
19,2025-04-28,4,Eletrônicos,Notebook,Fernanda,1012,22,M,4,3341.5,13366.0,Boleto
20,2025-06-26,1,Vestuário,Camisa,Carlos,1081,61,M,3,89.83,269.49,Cartão
21,2025-04-02,5,Eletrônicos,TV,Lucas,1092,64,M,3,2707.66,8122.98,Boleto
22,2025-03-14,2,Vestuário,Camisa,Fernanda,1030,20,M,8,93.73,749.84,Cartão
23,2025-06-11,1,Alimentos,Arroz,Mariana,1045,50,F,2,30.8,61.6,Cartão
24,2025-05-15,5,Vestuário,Camisa,Maria,1089,29,M,5,85.76,428.8,Cartão
